Ticker,Date,Open,High,Low,Close
DJUSBK,10/24/2018,420.48,420.48,420.48,420.48
DJUSBK,10/23/2018,432.83,432.83,432.83,432.83
DJUSBK,10/22/2018,435.35,435.35,435.35,435.35
DJUSBK,10/19/2018,446.98,446.98,446.98,446.98
DJUSBK,10/18/2018,447.48,447.48,447.48,447.48
DJUSBK,10/17/2018,456.05,456.05,456.05,456.05
DJUSBK,10/16/2018,450.79,450.79,450.79,450.79
DJUSBK,10/15/2018,445.55,445.55,445.55,445.55
DJUSBK,10/12/2018,446.78,446.78,446.78,446.78
DJUSBK,10/11/2018,449.4,449.4,449.4,449.4
DJUSBK,10/10/2018,462.37,462.37,462.37,462.37
DJUSBK,10/09/2018,472.67,472.67,472.67,472.67
DJUSBK,10/08/2018,475.61,475.61,475.61,475.61
DJUSBK,10/05/2018,472.62,472.62,472.62,472.62
DJUSBK,10/04/2018,475.56,475.56,475.56,475.56
DJUSBK,10/03/2018,472.2,472.2,472.2,472.2
DJUSBK,10/02/2018,465.58,465.58,465.58,465.58
DJUSBK,10/01/2018,466.01,466.01,466.01,466.01
DJUSBK,09/28/2018,465.99,465.99,465.99,465.99
DJUSBK,09/27/2018,470.73,470.73,470.73,470.73
DJUSBK,09/26/2018,473.78,473.78,473.78,473.78
DJUSBK,09/25/2018,481.46,481.46,481.46,481.46
DJUSBK,09/24/2018,482.67,482.67,482.67,482.67
DJUSBK,09/21/2018,488.06,488.06,488.06,488.06
DJUSBK,09/20/2018,491.0,491.0,491.0,491.0
DJUSBK,09/19/2018,486.08,486.08,486.08,486.08
DJUSBK,09/18/2018,475.8,475.8,475.8,475.8
DJUSBK,09/17/2018,475.49,475.49,475.49,475.49
DJUSBK,09/14/2018,476.6,476.6,476.6,476.6
DJUSBK,09/13/2018,475.05,475.05,475.05,475.05
DJUSBK,09/12/2018,478.74,478.74,478.74,478.74
DJUSBK,09/11/2018,485.42,485.42,485.42,485.42
DJUSBK,09/10/2018,484.36,484.36,484.36,484.36
DJUSBK,09/07/2018,485.37,485.37,485.37,485.37
DJUSBK,09/06/2018,486.32,486.32,486.32,486.32
DJUSBK,09/05/2018,490.48,490.48,490.48,490.48
DJUSBK,09/04/2018,490.42,490.42,490.42,490.42
